date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:31	109/109	---MC-	200	added ('OK')	text/plain	date:Mon,%2005%20Jul%202021%2005:29:29%20GMT	https://juvas.in/robots.txt		(from )
10:59:34	229071/229071	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2005:29:30%20GMT	https://juvas.in/	F:/New%20folder/Client%20SS%20Cables/juvas.in/index.html	(from )
10:59:36	26296/26296	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Jun%202021%2012:41:07%20GMT	https://juvas.in/wp-content/plugins/chaty/css/chaty-front.min.css?ver=1621344347	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/plugins/chaty/css/chaty-front.min7aa8.css	(from https://juvas.in/)
10:59:38	3304/3304	---M--	200	added ('OK')	font/woff	date:Wed,%2014%20Apr%202021%2011:12:25%20GMT	https://juvas.in/wp-content/themes/astra/assets/fonts/astra.woff	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/themes/astra/assets/fonts/astra.woff	(from https://juvas.in/)
10:59:38	75174/75174	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2011:12:25%20GMT	https://juvas.in/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.3.2	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/themes/astra/assets/css/minified/frontend.mind617.css	(from https://juvas.in/)
10:59:39	3412/3412	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2011:12:25%20GMT	https://juvas.in/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.3.2	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/themes/astra/assets/css/minified/menu-animation.mind617.css	(from https://juvas.in/)
10:59:39	14187/14187	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2001%20Jul%202021%2006:27:01%20GMT	https://juvas.in/feed/	F:/New%20folder/Client%20SS%20Cables/juvas.in/feed/index.html	(from https://juvas.in/)
10:59:39	707/707	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Jul%202021%2005:29:39%20GMT	https://juvas.in/comments/feed/	F:/New%20folder/Client%20SS%20Cables/juvas.in/comments/feed/index.html	(from https://juvas.in/)
10:59:39	776/776	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jul%202021%2007:11:23%20GMT	https://juvas.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.2	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f22.css	(from https://juvas.in/)
10:59:40	58171/58171	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2005:42:10%20GMT	https://juvas.in/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-includes/css/dist/block-library/style.min9f31.css	(from https://juvas.in/)
10:59:40	17232/17232	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Jun%202021%2012:41:10%20GMT	https://juvas.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	F:/New%20folder/Client%20SS%20Cables/juvas.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://juvas.in/)
